bioguide_id,name,party,state,chamber,committees,top_industries_current_cycle,interest_group_ratings,external_links,notes
D000563,Richard Durbin,D,IL,senate,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/richard_durbin/300038"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00004981""}",
B001299,Jim Banks,R,IN,senate,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/jim_banks/412702"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00037185""}",
Y000064,Todd Young,R,IN,senate,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/todd_young/412428"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00030670""}",
M001198,Roger Marshall,R,KS,senate,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/roger_marshall/412704"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00037034""}",
M000934,Jerry Moran,R,KS,senate,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/jerry_moran/400284"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00005282""}",
M000355,Mitch McConnell,R,KY,senate,"[""Agriculture, Nutrition, and Forestry"", ""Appropriations"", ""Rules and Administration""]",[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/mitch_mcconnell/300072"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00003389"", ""ballotpedia"": ""https://ballotpedia.org/Mitch_McConnell"", ""wikipedia"": ""https://en.wikipedia.org/wiki/Mitch_McConnell""}",Senate Republican Leader Emeritus.
P000603,Rand Paul,R,KY,senate,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/rand_paul/412492"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00030836""}",
C001075,Bill Cassidy,R,LA,senate,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/bill_cassidy/412269"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00030245""}",
K000393,John Kennedy,R,LA,senate,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/john_kennedy/412679"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00026823""}",
M000133,Ed Markey,D,MA,senate,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/edward_markey/400253"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00000270""}",
W000817,Elizabeth Warren,D,MA,senate,"[""Banking, Housing, and Urban Affairs"", ""Armed Services"", ""Finance""]",[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/elizabeth_warren/412542"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00033492"", ""ballotpedia"": ""https://ballotpedia.org/Elizabeth_Warren"", ""wikipedia"": ""https://en.wikipedia.org/wiki/Elizabeth_Warren""}",
A000382,Angela Alsobrooks,D,MD,senate,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/angela_alsobrooks/456965"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00053033""}",
V000128,Chris Van Hollen,D,MD,senate,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/chris_van_hollen/400415"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00013820""}",
C001035,Susan Collins,R,ME,senate,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/susan_collins/300025"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00000491""}",
K000383,Angus King,I,ME,senate,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/angus_king/412545"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00034580""}",
P000595,Gary Peters,D,MI,senate,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/gary_peters/412305"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00029277""}",
S001208,Elissa Slotkin,D,MI,senate,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/elissa_slotkin/412784"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00041357""}",
K000367,Amy Klobuchar,D,MN,senate,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/amy_klobuchar/412242"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00027500""}",
S001203,Tina Smith,D,MN,senate,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/tina_smith/412742"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00042353""}",
H001089,Josh Hawley,R,MO,senate,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/joshua_hawley/412840"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00041620""}",
S001227,Eric Schmitt,R,MO,senate,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/eric_schmitt/456875"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00048414""}",
H001079,Cindy Hyde-Smith,R,MS,senate,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/cindy_hyde_smith/412743"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00043298""}",
W000437,Roger Wicker,R,MS,senate,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/roger_wicker/400432"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00003280""}",
D000618,Steve Daines,R,MT,senate,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/steve_daines/412549"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00033054""}",
S001232,Tim Sheehy,R,MT,senate,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/tim_sheehy/456966"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00053174""}",
B001305,Ted Budd,R,NC,senate,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/ted_budd/412712"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00039551""}",
T000476,Thom Tillis,R,NC,senate,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/thom_tillis/412668"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00035492""}",
C001096,Kevin Cramer,R,ND,senate,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/kevin_cramer/412555"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00004614""}",
H001061,John Hoeven,R,ND,senate,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/john_hoeven/412494"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00031688""}",
F000463,Deb Fischer,R,NE,senate,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/deb_fischer/412556"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00033443""}",
R000618,Pete Ricketts,R,NE,senate,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/pete_ricketts/456952"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00027695""}",
H001076,Maggie Hassan,D,NH,senate,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/margaret_hassan/412680"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00038397""}",
S001181,Jeanne Shaheen,D,NH,senate,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/jeanne_shaheen/412323"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00024790""}",
B001288,Cory Booker,D,NJ,senate,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/cory_booker/412598"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00035267""}",
K000394,Andy Kim,D,NJ,senate,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/andy_kim/412797"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00041370""}",
H001046,Martin Heinrich,D,NM,senate,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/martin_heinrich/412281"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00029835""}",
L000570,Ben Luján,D,NM,senate,[],[],{},"{""govtrack"": ""https://www.govtrack.us/congress/members/ben_lujan/412293"", ""opensecrets"": ""https://www.opensecrets.org/members-of-congress/summary?cid=N00029562""}",
